,20.0,40.0,60.0,80.0
2017-07-31,220.53329764874422,155.94059024486293,127.32495876277864,110.26664882396753
2017-08-01,213.03297944053148,150.63706437892435,122.99464802590039,106.51648971993625
2017-08-02,214.6382013938066,151.7721277073035,123.92142335313765,107.31910069640743
2017-08-03,221.96453516087823,156.95262799518213,128.15128412568353,110.98226758006297
2017-08-04,226.06782941207146,159.85409518540715,130.5203221661742,113.03391470573206
2017-08-05,229.57760835947127,162.3358836795822,132.54669398625154,114.78880417948687
2017-08-06,227.24271613251904,160.68486555255998,131.1986433304919,113.62135806597504
2017-08-07,219.21954436923068,155.01162639211213,126.5664629532028,109.60977218418367
2017-08-08,213.95793735294677,151.29110839093184,123.52867272596009,106.97896867591669
2017-08-09,212.945881414082,150.57547677369504,122.94436195531557,106.4729407066569
2017-08-10,221.58073950005033,156.6812434808207,127.92969959759073,110.79036974964154
2017-08-11,229.30368518365358,162.14219074443443,132.38854436695593,114.65184259157394
2017-08-12,229.4503312632976,162.24588518178848,132.473210520514,114.72516563139813
2017-08-13,224.2507850928218,158.5692508255469,129.47125113932591,112.1253925460765
2017-08-14,216.15234438888436,152.8427884867524,124.79561421889063,108.07617219394217
2017-08-15,215.00455357191294,152.0311778167049,124.13293688175274,107.50227678544104
2017-08-16,216.17939761541942,152.86191800669016,124.81123340651467,108.08969880721175
2017-08-17,220.05942391728792,155.60551091592353,127.05136763636048,110.02971195822991
2017-08-18,225.17638552507168,159.22374916786097,130.00564679804742,112.58819276221723
2017-08-19,230.57395926763581,163.04041016318817,133.12193745128766,115.28697963358391
2017-08-20,230.51558829659925,162.99913565373762,133.08823695544683,115.25779414806473
2017-08-21,225.57225784420743,159.50367316920523,130.23420378806517,112.78612892179177
2017-08-22,216.02253833666902,152.75100174699597,124.72067065970502,108.0112691678343
2017-08-23,214.0583099268968,151.36208251870178,123.58662285861858,107.02915496294823
2017-08-24,223.71658428493822,158.19151381177812,129.16283015909303,111.8582921421254
2017-08-25,228.09460068997376,161.28723889992807,131.6904791090569,114.04730034471565
2017-08-26,232.60266187330336,164.4749195326621,134.29320944677553,116.3013309364484
2017-08-27,229.30745630434927,162.14485732945099,132.39072162450472,114.65372815192181
2017-08-28,222.15502325492577,157.08732341821806,128.2612624780593,111.07751162709046
2017-08-29,216.5465921642254,153.1215637621648,125.02323327811196,108.27329608162265
2017-08-30,217.64899783109792,153.90108228482913,125.65970748663699,108.8244989150835
2017-08-31,223.2936367535996,157.8924447442813,128.91864128802158,111.64681837644869
2017-09-01,230.22899273953837,162.79648199188958,132.9227709334292,115.1144963695301
2017-09-02,231.66968394159878,163.81520451046245,133.75455438675786,115.83484197058169
2017-09-03,230.1914936928921,162.76996616171076,132.9011208487536,115.0957468462064
2017-09-04,222.44689678613722,157.29370917138687,128.42977573987355,111.22344839270187
2017-09-05,214.69609338623684,151.8130635276602,123.95484731049636,107.34804669257649
2017-09-06,214.86084492735353,151.92956045962615,124.04996665713509,107.43042246316097
2017-09-07,221.84513302807272,156.86819793738695,128.08234727216646,110.92256651365788
